순번,민원제목,민원내용,민원등록일,민원수정일,민원답변일,처리부서,진행상태,구
162,(SPP-1703-2301021)부안교육문화회관내 저류지 관리실 문이 부서져 학생안전사,"안녕하세요? 토요장터에서 운영을 맡고 있는 위원장 박상용입니다. 저희가 어양동 근린공원에서 토요장터 (직거래장터)를 운영한지 4년이 되가고 있습니다. 그동안 도시 시민들의 안전한 농산물, 신선한 먹거리를 제공하고 소농분들은 나름의 수익을 올려서 도농상생의 걸맞는 정책이라 생각하면서 꾸준히 지역사회에 기여하고 있다고 봅니다.  다름이 아니라 천막과 테이블을 설치를 해야하고 트럭으로 옮기는 과저에서 나이드신 어르신들 그리고 트럭이 없어서 자가용을 가지고 다니신분들은 천막이나 테이블을 가지고 다닐수 없어서 공원에 조그마한 보관함 콘테이너 설치를 요구합니다. 콘테이너는 저희들이 비용을 부담하고자 합니다. 시에는 적절한 장소를 고려해서 장소만 선정해주시면 직거래장터가 더욱 발전할 계기가 되리라 믿고 도농상생 발전에 기여하는 장터가 되도록 노력하겠습니다. 농업이 많이 어려워지고 있습니다. 소농들이 그래도 장터에 참여하면서 작은 희망이라도 가질수 있도록 도와주시면 감사하겠습니다.",2017-03-23,,2017-04-05,안전총괄과,처리완료,효자로
163,팔봉제2공원 조명,안녕하세요?저는 익산시 동산동(서동로24길 51-2)에 사는 시민입니다.동산동은 익산시에서 낙후지역으로 골목길이 좁기도 하고 낡아서  이사하고 빈집들이 아주 많습니다.특히 길가와 인접해있는 곳도 여러 집입니다. 미관상 좋지 못할 뿐 아니라 쓰레기와 쥐들로 전염병의 온상이 될 수도 있을 뿐아니라 나쁜 맘을 먹는 사람들이 있다면 정말 위험한 장소가 될 수 있습니다.제가 살고 있는 곳은  동광교회 근처인데  똘레랑스라는 지역센터도 있고 정말 어린아이에게 나쁜 맘을 먹는다면 위험한 장소를 방치하는 것 으로 밖엔 생각할  수 없습니다.물론 사유 재산이라 어찌 할 수 없다는 점도 있지만  도시 미관을 해칠 뿐 아니라 위험한 정소를  제공 할 수 있다는 것 만으로도 꼭  정리를 해야 한다고 생각합니다.또한  이 길엔  CCTV도 없습니다.  방범용 CCTV도 설치해주세요..동산동 지역센터에  지난해에  CCTV설치를 건의했는데 예산 부족이라 내년(2016년)에 골려해 본다는 말만 들었습니다.더 안전하고 행복한 생활을 할 수 있도록 꼭 부탁드립니다.,2016-04-26,2016-04-26,,,처리완료,행안면
164,유기견 보호소 담당자가 누구인가요?,제발 조치부탁드립니다..첨부파일을 보면 동물학대가 아니면 무엇입니까...부탁드립니다.,2016-11-09,2016-11-09,2016-11-11,축산과,처리완료,부안읍
165,가로등불,어양동 부영2차 앞 익산초등학교 들어가는 입구쪽가로등 불이 전부 꺼져있네요오후7시만 되도 동네가 너무 어두워서걸어다니기 무섭네요학교앞이기도 하고 학원끝나고 오는 아이들도위험할것같습니다그리고 추가로 설치좀해주세요하나있는 가로등마저불도 안나오고주변엔 가로등도없네요,2018-02-23,2018-02-23,2018-02-28,건설과,처리완료,동진면
166,부탁드립니다,"군산시 공무원 성추행, 성희롱 사건 1심 선고,이제 군산시장은 군산시 직장내성희롱문제에 진정성있게 답해야 한다.           ",2018-02-25,2018-02-25,2018-02-26,어린이행복과,처리완료,부안읍
167,송학교차로 다리 아래 근처,할랄식품단지 결사반대합니다.절대 안됩니다!!익산약자가 I.S가 되지 않길 바랍니다....,2016-01-11,2016-01-11,2016-01-15,도로관리과,처리완료,부안읍
168,[생활불편신고]불법광고물,"금년 새단장한 웅포 캠핑장에서 3월 12-13일 1박 2일동안 이용했는데 불편 한점이 있어 글을 씁니다.- 캠핑장에 도착하여 관리사무소에 갔는데 관리자분께서 귀찮다는 식으로 예약했으면 가서 설치하라고 말씀하시고  예약자와 사이트 이용자를 확인하지 않으심  ( 우리가족이 캠핑시 예약안하신 분들이 오셔서 무료로 사이트에 텐트를 설치 하고 캠핑하심)- 차량은 짐을 상,하차시에만 캠핑장안으로 진입할 수 있으나 사이트 옆에 차량을 주차시켜놓고 캠핑을 해도 단속    하지 않음( 차 이동 방송 1회만함) - 화장실 쓰레기 통은 비어있으나 변기청소를 하지 않아서 더러움작년까지 웅포 캠핑장은 화장실은 멀고 차는 들어오지 못해 짐 옮기는것이  힘들어도 넓은 사이트와 아름다운캠핑장 전경덕분에 저희 가족이 아끼는 캠핑장이었습니다.위에 올린 사항들을이 개선이 되어 많은 사람들이 아끼고 사랑하는 웅포캠핑장이 되길 바래봅니다. ",2017-10-12,,2017-10-19,주산면,처리완료,틀못1길
169,동산동 펑펑터지는 소리,요즘 악취 정말 장난아니네요ㅜㅜ 병날꺼같아요.악취문제 몇년간 계속되는 문젠거 같은데 왜 해결이 안되나요?카페고 여기 홈페이지고 민원도 많이 들어오는거 같은데해결바랍니다. 미세먼지에 악취까지ㅜㅜ왜 사람들이 이사가고 싶다는지 알것같아요.,2017-08-23,2017-08-23,2017-08-28,시정에바란다,처리완료,부안읍
170,[생활불편신고]장애인 전용주차구역 불법주차,전라북도 부안군 행안면 진동리 314-1상수도 표시석 쓰러짐*  *(1/1) C: 2017/10/26 16:43:18G:*,2017-11-03,,2017-11-09,주민행복지원실,처리완료,부안읍
171,생활쓰레기처리,전라북도 익산시 모현동1가 873 주차장 내용  : 해당 주차장의 노면상태가 매우 불량합니다. 처음엔 그래도 평평했는데 시간이 가면 갈수록 움푹파인곳의 침하가 심해지고 자동차 바퀴보다 낮아져 차량 바닥이 닿는등 매우 위험합니다 입간판의 경고문의 보면 관리주체가 LH소유의 택지내 유보지인것 같은데 아무리 관리주체가 달라도 움푹 파인곳의 긴급보수는 시에서라도 관리를 해주는것이 어떻겠습니까? 그리고 주변에 롯데시네마가 입주하게 되면 그일대가 더 혼잡해질텐데 공용주차장으로 전환해줄것을 건의 드립니다,2017-02-24,2017-02-24,2017-02-27,청소자원과,처리완료,부안읍
172,군산대광로제비앙 아파트,"1. 용화산 제초작업해주신 산림녹지과 직원분들에게 감사드립니다.   인력과 예산 부족으로 어려운 상황을 토로하시는데 군산시장이나 시의원들 각성해야할것입니다.   시골 사는 사람들 무시하지 마시고 조금만 신경쓰고 예산을 배정해주면 해결됩니다.   아참 그리고 칠거리에서 용화산 올라가는 능선에 소나무 제거하고 편백심은곳 산림조합에서 제초작업했던데    언덕위쪽은 제초작업을 하지 않아서 편백이 풀에 덥혀있더군요. 그거 조치해야 할것같습니다.    이왕이면 그옆길도 같이 제초작업해주시면 더 고맙겠네요.2. 버스 민원입니다.  수년간 회현 구율문화마을에 버스가 두시간에 한번이라 증차를 요구했는데 핑계만 대고  그나마 중간시간대에 88번 망동버스를 고개넘어 한정거장만 옮기면 한시간에 한대가 되니까   옮겨달라고 했는데....또 별 시덥잖은 핑계만 대면서 다음 버스노선조정때 검토해본다더니  지난번 버스 노선 조정하면서 고개넘어 한정거장을  오히려 세정거장으로 벌려놓나?  시골마을 어르신들 어린 학생들 건강 생각해서 다리 근력키우라고 배려해주신건가?  해도 너무하네.  오기배차라고 시골사람 무시하는건가?  다른 시군은 시골주민들 위해서 천원 택시도 운행한다는데  복지군산은 아! 건강한 군산시민을 위해서 그런식으로 배차하나?  어르신들 어린학생들 두시간에 한번있는 버스 놓치면 세정거장 걸어가서 삼거리도로 길모퉁이에서서  버스 베이도 없는 위험하고 땡볕에, 비오면 쫄닥맞고, 모기에 날타리에.....  당신들도 그런데서 버스기다려서 한번 타봐라고 하고싶은 마음이 굴뚝같네요.  시골사람도 사람답게 삽시다. 한두가구도 아니고 100가구 가까이 되는 시골사람도 사람답게 삽시다. 3. 홈페이지 관리자   시장에게 바란다 길 길게쓰면 짜증나는것인지...  그동안 많은 사람들도 글 올렸더만   좀 생각하면서 길게 쓰면 왜 에러가 뜨고 쓰던 글이 없어지나?   이것도 작전인지...   좀 제대로 해주면 안됩니까?  ",2018-01-19,2018-01-19,2018-01-29,직소민원팀,처리완료,줄포면
173,장신휴먼시아쪽 골목 불법주정차 차량,영등1동사무소 헬스교실에 다닙니다다니면서 불편한점이 발견되었는데 내부 청소를 해주지 않는다는 것입니다요즘같이 송화가루가 날리는 시기에는 더욱더 먼지가 많이 내려 앉아 있습니다담당자 분께서는 자제적으로 회원들끼리  청소하라고 하시지만 다른 동사무소 여러곳을 알아본 결과 타 동사무소 헬스교실에서는 청소를 해주는걸로 파악되고 있습니다왜 영등1동 헬스교실만 자체적으로 회원들끼리 청소를 하라는 건지 납득이 안갑니다이용료가 싸니 청소를 자체적으로 하라는건 이해할수 없습니다청소도 안해주고 기계가 고장이 나도 빨리 안고쳐주고 있습니다빠른 시정 부탁드립니다,2018-05-02,2018-05-02,2018-05-02,교통행정과,처리완료,부안읍
174,문화의 거리 불친절,하나로도로 이면 도로  탑천다리옆...물이넘쳐 빠지지 않구있는데차량바퀴가 거의 차는데어떻하나요...혹시 다른분들도 어려움을 당할수 있을텐데요..,2018-06-26,2018-06-26,2018-06-30,문화관광과,처리완료,부안읍
175,구역전 앞 사거리 신호 문제로 민원드립니다.,새만금어린이랜드 여자화장실에있는 아이들 변기에서  물이 줄줄 새네요 보수작업해주세요,2018-06-09,2018-06-09,,교통행정과,처리중,부안읍
176,(SPP-1802-0100416)밤이라 잘 안보이지만 가로등이 달려있는데 불이 안켜집니,전라북도 부안군 부안읍 동중리 156-9길가에 이런 구멍 때문에 어른이나 아이들이 발이빠지거나 구멍에 걸려서 넘어지니다 조치 부탁드립니다*  *(1/2) C: 2017/09/04 08:59:15(2/2) C: 2017/09/04 08:59:34G:*,2018-02-01,,2018-02-13,부안읍,처리완료,위도면
177,이사람는 매우 불청객자입니다.,: 전라북도 부안군 부안읍 서외리 618가로등(부안읍 1091)이 며칠동안 계속 꺼져있습니다.조치 부탁드립니다.-------------------------------------------------------------------------------------------------------------------------○ .,2018-04-23,2018-04-24,2018-04-27,경로장애인과,처리완료,상서면
178,(SPP-1703-3001036)진서면 보안등 102번 불이 안들어와요,전라북도 부안군 진서면 석포리 159진서면 보안등 140번 불이 안들어 옴,2017-03-30,,2017-04-07,진서면,처리완료,줄포면
179,불법주정차,푸른도시과-13483(2018.6.15.)호 관련*스캔 참고,2018-07-07,,2018-07-13,건설교통과,처리완료,부안읍
180,익산시보호수 정비사업,"시내버스 시간표가 실제 버스정류장에 게시된 정보와 온라인 상에 올라온 정보가 달라서 문의드립니다제가 직접 찍은 사진은 보면 1번 버스가 부영3A에서 12시 10분, 12시 32분, 13시에 출발한다고 나와있습니다.하지만 실제 올라온 파일은 보면 부영3A에서 11시 59분, 12시 44분, 13시 29분 출발로 나와있습니다.어떻게 보면 겨우 10분, 20분 차이라고 할 수 있으나 10분, 20분이 중요할 때도 있습니다.버스 정류장의 버스 시간표를 현행 버스 시간에 맞게 바꿔주시길 부탁드립니다.",2018-08-07,2018-08-07,2018-08-09,산림과,처리완료,부안읍
181,[생활불편신고]장애인 전용주차구역 불법주차,전라북도 부안군 부안읍 모산리 205-2불법현수막이 고정이 안되서 펄럭거림*  *(1/1) C: 2018/03/23 19:54:59G:  *,2018-03-27,,2018-03-28,주민행복지원실,처리완료,변산면
182,(SPP-1802-0800477)방지턱이 패여있고 페인트 칠도 벗겨졌습니다 * 첨부파,전라북도 부안군 부안읍 동중리 132-12진입금지 표시인데 점점 안보이게되어 사인을 볼수없어 교통체증 및 교통사고 유발 가능이있어올림*  *(1/1) C: 2018/01/15 16:45:42G:  *,2018-02-08,,2018-02-21,푸른도시과,처리완료,행안면
